weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
23.188463,6,Three generation household,223.51714,1,5.7644963,0,5,1,1,25,0,0,0,0,0,0,1,17,3,1,0,0,566
23.188463,6,Three generation household,223.51714,1,5.7644963,0,5,1,1,25,0,0,0,0,0,0,1,7,1,0,0,0,566
23.188463,6,Three generation household,223.51714,1,5.7644963,0,5,1,1,25,0,0,0,0,0,0,1,3,0,0,0,0,566
27.826157,5,Three generation household,313.75137,1,6.1626406,0,7,1,1,30,0,0,0,0,0,0,1,30,6,0,0,0,567
27.826157,5,Three generation household,313.75137,1,6.1626406,0,7,1,1,30,0,0,0,0,0,0,1,30,6,1,0,0,567
27.826157,5,Three generation household,313.75137,1,6.1626406,0,7,1,1,30,0,0,0,0,0,0,1,9,1,0,0,0,567
27.826157,5,Three generation household,313.75137,1,6.1626406,0,7,1,1,30,0,0,0,0,0,0,1,5,1,0,0,0,567
26.59132,7,"Couple household, with children",252.64493,1,5.423604,0,6,0,0,0,0,0,0,0,0,0,1,53,10,1,0,1,570
26.59132,7,"Couple household, with children",252.64493,1,5.423604,0,6,0,0,0,0,0,0,0,0,0,1,30,6,0,0,0,570
26.59132,7,"Couple household, with children",252.64493,1,5.423604,0,6,0,0,0,0,0,0,0,0,0,1,25,5,1,0,0,570
26.59132,7,"Couple household, with children",252.64493,1,5.423604,0,6,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,570
26.59132,7,"Couple household, with children",252.64493,1,5.423604,0,6,0,0,0,0,0,0,0,0,0,1,7,1,1,0,0,570
26.59132,7,"Couple household, with children",252.64493,1,5.423604,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,570
37.227848,5,Three generation household,280.66925,1,5.493999,0,6,1,1,30,0,0,0,0,0,0,1,31,6,0,0,0,571
37.227848,5,Three generation household,280.66925,1,5.493999,0,6,1,1,30,0,0,0,0,0,0,1,31,6,1,0,0,571
37.227848,5,Three generation household,280.66925,1,5.493999,0,6,1,1,30,0,0,0,0,0,0,1,9,1,1,0,1,571
37.227848,5,Three generation household,280.66925,1,5.493999,0,6,1,1,30,0,0,0,0,0,0,1,10,2,0,0,0,571
93.069618,2,Other household types,146.21259,1,5.4165096,0,2,1,1,75,0,0,0,0,0,0,1,27,5,1,0,0,572
27.826157,5,Other household types,299.82364,1,5.0707488,0,7,1,1,30,0,0,0,0,0,0,1,49,9,0,0,0,573
27.826157,5,Other household types,299.82364,1,5.0707488,0,7,1,1,30,0,0,0,0,0,0,1,41,8,1,0,0,573
27.826157,5,Other household types,299.82364,1,5.0707488,0,7,1,1,30,0,0,0,0,0,0,1,19,3,1,0,0,573
27.826157,5,Other household types,299.82364,1,5.0707488,0,7,1,1,30,0,0,0,0,0,0,1,18,3,0,0,0,573
27.826157,5,"Couple household, with children",212.91832,1,5.5612383,0,4,0,0,0,0,0,0,0,0,0,1,37,7,1,0,0,575
27.826157,5,"Couple household, with children",212.91832,1,5.5612383,0,4,0,0,0,0,0,0,0,0,0,1,18,3,1,0,0,575
27.826157,5,"Couple household, with children",212.91832,1,5.5612383,0,4,0,0,0,0,0,0,0,0,0,1,17,3,1,0,0,575
27.826157,5,"Couple household, with children",212.91832,1,5.5612383,0,4,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,575
19.875826,7,Three generation household,278.37097,1,4.9500957,0,6,0,1,21.428572,0,0,0,0,0,0,1,64,12,1,0,0,576
19.875826,7,Three generation household,278.37097,1,4.9500957,0,6,0,1,21.428572,0,0,0,0,0,0,1,38,7,0,0,0,576
19.875826,7,Three generation household,278.37097,1,4.9500957,0,6,0,1,21.428572,0,0,0,0,0,0,1,32,6,1,0,0,576
19.875826,7,Three generation household,278.37097,1,4.9500957,0,6,0,1,21.428572,0,0,0,0,0,0,1,16,3,1,0,0,576
19.875826,7,Three generation household,278.37097,1,4.9500957,0,6,0,1,21.428572,0,0,0,0,0,0,1,15,3,1,0,0,576
19.875826,7,Three generation household,278.37097,1,4.9500957,0,6,0,1,21.428572,0,0,0,0,0,0,1,7,1,0,0,0,576
27.826157,5,Other household types,180.51387,1,5.3832316,0,3,1,0,0,0,0,0,0,0,0,1,46,9,1,0,0,577
27.826157,5,Other household types,180.51387,1,5.3832316,0,3,1,0,0,0,0,0,0,0,0,1,19,3,0,0,0,577
27.826157,5,Other household types,180.51387,1,5.3832316,0,3,1,0,0,0,0,0,0,0,0,1,18,3,1,0,0,577
27.826157,5,Other household types,180.51387,1,5.3832316,0,3,1,0,0,0,0,0,0,0,0,1,16,3,1,0,1,577
46.534809,4,Other household types,247.09526,1,5.6320691,0,5,1,0,0,0,0,0,0,0,0,1,25,5,0,0,0,579
46.534809,4,Other household types,247.09526,1,5.6320691,0,5,1,0,0,0,0,0,0,0,0,1,26,5,1,0,0,579
46.534809,4,Other household types,247.09526,1,5.6320691,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,579
19.875826,7,Three generation household,221.84454,1,5.1341791,0,5,0,0,0,0,0,0,0,0,0,1,64,12,1,0,0,580
19.875826,7,Three generation household,221.84454,1,5.1341791,0,5,0,0,0,0,0,0,0,0,0,1,37,7,0,0,0,580
19.875826,7,Three generation household,221.84454,1,5.1341791,0,5,0,0,0,0,0,0,0,0,0,1,34,6,1,0,0,580
19.875826,7,Three generation household,221.84454,1,5.1341791,0,5,0,0,0,0,0,0,0,0,0,1,15,3,1,0,0,580
19.875826,7,Three generation household,221.84454,1,5.1341791,0,5,0,0,0,0,0,0,0,0,0,1,11,2,1,0,0,580
19.875826,7,Three generation household,221.84454,1,5.1341791,0,5,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,580
61.419216,3,Other household types,229.95253,1,5.9266973,0,5,1,1,50,0,0,0,0,0,0,0,50,10,1,0,0,581
