weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
185.0913543701172,6,Three generation household,3412.1194,1,8.0455294,0,4,0,0,0,0,0,0,0,0,0,0,60,12,Женский,0,0,3110
185.0913543701172,6,Three generation household,3412.1194,1,8.0455294,0,4,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,3110
185.0913543701172,6,Three generation household,3412.1194,1,8.0455294,0,4,0,0,0,0,0,0,0,0,0,0,23,4,Женский,0,0,3110
185.0913543701172,6,Three generation household,3412.1194,1,8.0455294,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3110
185.0913543701172,6,Three generation household,3412.1194,1,8.0455294,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3110
206.8157958984375,4,"Couple household, with no children",4868.0718,1,8.4599361,0,7,0,0,0,0,0,0,0,0,0,0,61,12,Женский,0,0,3111
206.8157958984375,4,"Couple household, with no children",4868.0718,1,8.4599361,0,7,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,3111
206.8157958984375,4,"Couple household, with no children",4868.0718,1,8.4599361,0,7,0,0,0,0,0,0,0,0,0,0,21,4,Женский,0,0,3111
194.4735260009766,4,"Couple household, with children",3472.5476,1,8.1924667,0,4,0,0,0,0,0,0,0,0,0,0,27,5,Женский,0,0,3112
194.4735260009766,4,"Couple household, with children",3472.5476,1,8.1924667,0,4,0,0,0,0,0,0,0,0,0,0,8,1,Женский,0,0,3112
194.4735260009766,4,"Couple household, with children",3472.5476,1,8.1924667,0,4,0,0,0,0,0,0,0,0,0,0,5,1,Женский,0,0,3112
95.70464324951172,2,"Couple household, with no children",5604.9106,1,8.8203688,0,8,0,1,0,0,0,1,0,0,0,0,63,12,Женский,0,0,3113
177.3499450683594,2,Other household types,4725.7583,1,8.6594553,0,7,1,0,0,0,0,0,0,0,0,0,30,6,0,0,0,3114
203.4387817382813,4,"Couple household, with children",3794.2039,1,8.3013039,0,5,0,0,0,0,0,0,0,0,0,0,39,7,Женский,0,0,3115
203.4387817382813,4,"Couple household, with children",3794.2039,1,8.3013039,0,5,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,3115
203.4387817382813,4,"Couple household, with children",3794.2039,1,8.3013039,0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3115
188.4054412841797,7,"Couple household, with children",2434.4211,1,7.9236884,100,2,0,0,0,0,0,0,0,0,0,0,38,7,Женский,0,0,3116
188.4054412841797,7,"Couple household, with children",2434.4211,1,7.9236884,100,2,0,0,0,0,0,0,0,0,0,0,16,3,Женский,0,0,3116
188.4054412841797,7,"Couple household, with children",2434.4211,1,7.9236884,100,2,0,0,0,0,0,0,0,0,0,0,10,2,Женский,0,0,3116
188.4054412841797,7,"Couple household, with children",2434.4211,1,7.9236884,100,2,0,0,0,0,0,0,0,0,0,0,8,1,Женский,0,0,3116
188.4054412841797,7,"Couple household, with children",2434.4211,1,7.9236884,100,2,0,0,0,0,0,0,0,0,0,0,5,1,Женский,0,0,3116
188.4054412841797,7,"Couple household, with children",2434.4211,1,7.9236884,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116
151.1320648193359,4,"Couple household, with children",3391.5198,1,8.2432365,0,4,0,0,0,0,0,0,0,0,0,0,48,9,Женский,0,0,3117
151.1320648193359,4,"Couple household, with children",3391.5198,1,8.2432365,0,4,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3117
151.1320648193359,4,"Couple household, with children",3391.5198,1,8.2432365,0,4,0,0,0,0,0,0,0,0,0,0,5,1,Женский,0,0,3117
173.0631256103516,6,"Couple household, with children",4171.7998,1,8.1447973,0,6,0,0,0,0,0,0,0,0,0,0,42,8,Женский,0,0,3118
173.0631256103516,6,"Couple household, with children",4171.7998,1,8.1447973,0,6,0,0,0,0,0,0,0,0,0,0,13,2,Женский,0,0,3118
173.0631256103516,6,"Couple household, with children",4171.7998,1,8.1447973,0,6,0,0,0,0,0,0,0,0,0,0,11,2,Женский,0,0,3118
173.0631256103516,6,"Couple household, with children",4171.7998,1,8.1447973,0,6,0,0,0,0,0,0,0,0,0,0,4,0,Женский,0,0,3118
173.0631256103516,6,"Couple household, with children",4171.7998,1,8.1447973,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3118
193.5097351074219,6,"Couple household, with children",3443.3872,1,7.9995561,0,4,0,0,0,0,0,0,0,0,0,0,37,7,Женский,0,0,3119
193.5097351074219,6,"Couple household, with children",3443.3872,1,7.9995561,0,4,0,0,0,0,0,0,0,0,0,0,15,3,Женский,0,0,3119
