hhid,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab
30256,578.6661376953125,5,"Couple household, with no children",3523.6265,1,8.3723583,0,4,0,1,0,0,0,0,0,0,0,0,79,15,0,0,0
30257,739.7981567382813,9,Three generation household,2627.0566,1,7.901401,100,2,0,0,0,0,0,0,0,0,0,0,61,12,0,0,0
30258,684.6152954101563,5,Three generation household,3120.3945,1,8.1910801,0,3,0,1,0,0,0,0,0,0,0,0,88,16,0,0,1
30259,750.1640625,6,Three generation household,3052.5361,1,8.0718117,0,3,1,0,0,0,0,0,0,0,0,0,84,16,Женский,0,0
30260,882.826171875,6,"Couple household, with children",3297.7209,1,8.1384954,0,3,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
30262,966.4327392578125,4,"Couple household, with children",4462.979,1,8.239604,0,6,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0
30263,709.8333740234375,5,Three generation household,2935.5483,1,8.2362814,0,2,0,1,0,0,0,0,0,0,0,0,73,14,0,0,0
30265,841.1467895507813,6,Three generation household,4235.1768,1,8.1250839,0,5,1,0,0,0,0,0,0,0,0,0,60,12,Женский,0,0
30266,726.91015625,6,Three generation household,4757.8989,1,8.1083059,0,6,1,0,0,0,0,0,0,0,0,0,67,13,Женский,0,0
30267,612.4094848632813,3,Three generation household,5864.8887,1,8.493228,0,8,0,0,0,0,0,0,0,0,0,0,60,12,0,0,0
30268,767.3259887695313,7,"Couple household, with children",4834.3276,1,8.0198383,0,6,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
30270,668.6657104492188,3,"Couple household, with no children",6433.9502,1,8.6657448,0,8,1,0,0,0,0,0,0,0,0,0,45,9,Женский,0,1
30271,818.6292724609375,7,"Couple household, with children",4494.7969,1,8.0198784,0,6,0,0,0,0,0,0,0,0,0,0,54,10,0,0,0
30273,713.6408081054688,4,"Couple household, with children",6655.0117,1,8.3884192,0,9,0,0,0,0,0,0,0,0,0,0,47,9,0,0,0
30276,820.39453125,10,Three generation household,1992.8647,1,7.6482444,100,1,0,0,0,0,0,0,0,0,0,0,62,12,0,0,0
30277,765.4563598632813,1,"One-person household, 18-59 years",6241.4048,1,8.9331741,0,8,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0
30278,884.9425048828125,7,Three generation household,2722.2668,1,8.0490341,100,2,1,0,0,0,0,0,0,0,0,0,61,12,Женский,0,1
30280,1128.860595703125,2,"Couple household, with no children",4955.98,1,8.6958237,0,7,0,0,0,0,0,0,0,0,0,0,30,6,0,0,0
30282,725.8543701171875,6,Three generation household,2256.7141,1,8.1259842,100,1,0,1,0,0,0,0,0,0,0,0,65,13,0,0,0
30283,812.2107543945313,6,"Couple household, with children",2601.9543,1,8.1537971,100,2,0,0,0,0,0,1,0,0,0,0,57,11,0,0,0
30284,546.2488403320313,2,"Couple household, with no children",6724.0337,1,8.7657681,0,9,0,0,0,0,0,0,0,0,0,0,54,10,0,0,1
30285,770.3759155273438,5,"Couple household, with children",3475.2693,1,8.3129435,0,4,0,0,0,0,0,0,0,0,0,0,48,9,0,0,0
30286,815.309326171875,4,"Couple household, with children",3888.1436,1,8.3114376,0,4,0,0,0,0,0,0,0,0,0,0,44,8,0,0,0
30287,633.0391845703125,4,Three generation household,4564.8276,1,8.3725595,0,6,0,1,0,0,0,0,0,0,0,0,69,13,0,0,0
30288,820.7581176757813,5,"Couple household, with children",4552.1787,1,8.1860552,0,6,0,0,0,0,0,0,0,0,0,0,43,8,0,0,0
30289,714.6318969726563,6,"Couple household, with children",4285.4771,1,8.1384954,0,5,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
